CurrentTaxID,ScientificName,TaxonomicRank,TaxSuperKingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpeciesGroup,TaxSpecies
913,Nitrobacter winogradskyi,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,,Nitrobacter winogradskyi
915,Nitrosomonas europaea,species,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,,Nitrosomonas europaea
916,Nitrosomonas eutropha,species,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,,Nitrosomonas eutropha
920,Acidithiobacillus ferrooxidans,species,Bacteria,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,Acidithiobacillus ferrooxidans
921,Starkeya novella,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Starkeya,,Starkeya novella
926,Thiomonas intermedia,species,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,,Thiomonas intermedia
930,Acidithiobacillus thiooxidans,species,Bacteria,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,Acidithiobacillus thiooxidans
959,Bdellovibrio bacteriovorus,species,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio,,Bdellovibrio bacteriovorus
960,Bacteriovorax stolpii,species,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,,Bacteriovorax stolpii
964,Herbaspirillum seropedicae,species,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,,Herbaspirillum seropedicae
971,Selenomonas ruminantium,species,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,Selenomonas ruminantium
979,Cellulophaga lytica,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,,Cellulophaga lytica
984,Pedobacter heparinus,species,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Pedobacter heparinus
985,Cytophaga hutchinsonii,species,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,,Cytophaga hutchinsonii
986,Flavobacterium johnsoniae,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,Flavobacterium johnsoniae
995,Solitalea canadensis,species,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,,Solitalea canadensis
